2018-06-08 16:28:58,400 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-06-08 16:29:24,104 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sc-java-testing:sc-java-testing:0.0.1-SNAPSHOT @ /Users/jarvis2/Documents/EnhanceTestWorkspace/EnhanceWorkspace/selenium-cucumber-java-maven-example/pom.xml.
2018-06-08 16:29:24,415 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.github.selenium-cucumber:selenium-cucumber-java:jar:1.0.1-beta is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-06-08 16:29:25,082 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium-cucumber-java-maven-example/src/main/java
2018-06-08 16:29:25,083 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium-cucumber-java-maven-example/src/test/java
2018-06-08 16:29:25,083 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium-cucumber-java-maven-example/src/test/resources
2018-06-08 16:29:25,259 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2018-06-08 16:29:27,564 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.github.selenium-cucumber:selenium-cucumber-java:jar:1.0.1-beta is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-06-08 16:29:27,691 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-08 16:29:27,691 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jarvis2/Documents/EnhanceTestWorkspace/EnhanceWorkspace/selenium-cucumber-java-maven-example/src/main/resources
2018-06-08 16:29:27,693 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-08 16:29:27,705 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-06-08 16:43:59,064 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-08 16:43:59,074 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/jarvis2/Documents/EnhanceTestWorkspace/EnhanceWorkspace/selenium-cucumber-java-maven-example/src/main/resources
2018-06-08 16:43:59,077 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-08 16:43:59,084 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
